"d8_1","d8_2","d8_3","d9","d10","d11","d14","d181","estred13","d16","d260","d20","d21_1","d21_4_1","d21_11","d21_12","d21_13","d21_14_1","d21_15_1","d21_15_4","d21_18","d21_18_1","d21_19","d21_19_1","d23","d24","d25","h171_2","ht2","ht9","YHOG","YSVL","e27","e45_1","e45_2","e45_3","e46","e51_4","e210_1","e51_5","e210_2","e212","e215","e218"
2,0,11000,4,2,1,1,2,8,2,1,3,1,1,2,2,1,1,0,0,1,1,2,0,2,0,2,0,1,2,4034,51989,66,2,1,2,2,0,0,0,0,2,0,0
8,0,8000,3,2,1,1,2,7,1,5,3,2,0,2,2,1,1,2,1,1,1,1,1,3,0,3,0,1,1,2027,46381,48,2,1,2,2,3,1,1,1,2,0,0
5,0,5600,3,2,1,1,2,8,2,5,3,1,0,2,2,1,0,0,0,1,2,2,0,3,0,3,0,2,2,3926,123413,68,2,1,2,2,3,1,1,1,3,0,0
2,0,10000,4,4,1,1,2,6,2,5,3,1,2,2,2,1,0,2,1,1,1,1,1,4,0,4,0,2,2,6081,69708,52,2,2,2,1,3,1,0,0,3,0,0
5,0,15000,2,1,1,1,2,4,1,6,3,1,0,2,2,1,1,2,1,2,0,2,0,1,0,1,0,1,0,0,55802,25,2,1,2,2,3,1,3,1,3,1,3
5,0,9600,3,2,1,1,2,4,1,1,3,1,0,2,2,2,1,2,1,2,0,2,0,2,0,2,0,1,0,0,64760,42,2,1,2,1,0,0,0,0,3,0,0
8,0,4000,3,2,1,1,2,8,2,6,3,1,1,2,2,1,0,0,0,2,0,1,1,2,2,4,0,1,1,0,32400,3,1,2,2,2,0,0,0,0,0,0,0
8,0,15000,5,3,1,1,2,9,1,5,3,1,0,2,2,1,4,1,0,1,1,1,2,5,1,6,0,4,1,2027,98388,52,1,2,2,2,3,1,0,0,3,0,0
1,3700,15000,5,3,1,1,2,6,2,5,3,1,0,2,2,1,3,2,1,1,1,2,0,4,0,4,0,2,1,3920,61840,16,2,1,2,1,3,1,1,1,3,0,0
6,0,0,3,2,3,1,2,8,2,1,3,1,0,2,2,1,1,0,0,1,1,2,0,2,0,2,0,1,0,0,71351,60,2,1,2,2,0,0,0,0,3,0,0
2,0,10000,4,2,1,1,2,7,1,5,3,1,0,2,2,1,1,1,0,1,1,1,2,3,0,3,0,2,1,3902,38853,14,2,1,2,2,2,1,0,0,0,0,0
